hello/hi,Hello User
I'm tired all the time,That must be very difficult for you
I hate my life,Believe in yourself! Have faith in your abilities!
I always feel so alone,Adopt A Cute Pet
Sick of just being hurt,"Yes, I understand why things had to happen this way. I understand his reason for causing me pain. But mere understanding does not chase away the hurt. It does not call upon the sun when dark clouds have loomed over me. Let the rain come then if it must come! And let it wash away the dust that hurt my eyes!"
I can't let anyone know,It's OK to think about what I need
Feeling Sad,"Everyone gets sad at times, but you can feel better"
Feeling Happy,Share Your Happiness with others
Feeling lonely,Adopt A Cute Pet
i have many problems,"Problems are not stop signs, they are guidelines"
Anything,_
